number,name,platform,release_date,summary,meta_score,user_review
16701,Diner Dash: Sizzle & Serve, 3DS,"May 22, 2007","No show of superhuman speed goes unappreciated in this fast-paced game of culinary satisfaction. Play as Flo and serve yummy dishes, clean up icky messes, and keep your critic happy to score top reviews in this game that makes you work for your pay! But watch out for screaming babies, long wait times, and noisy cell-phone talkers – they may make your other guests unhappy. Only you hold the key to restaurant bliss in this game that makes you the master of your very own restaurant empire. [Eidos Interactive]",55,0.0
16716,Endless Ages, Dreamcast,"June 27, 2003","Nature is used to describe the endless struggle that rages across the universe where only the strong survive. Time after time the defenseless suffer while the strong and ruthless control the fate of the weak. Each being lives and dies, each finding their place and each wondering what will happen when their candle finally burns out. When it finally happens, very few find themselves correct. [Summitsoft]",55,0.0
16740,NCAA Final Four 2001, Wii U,"November 13, 2000","NCCA Final Four 2001 features relatively entertaining arcade-style hoops action, but the game's subpar graphics, lack of options, annoying control flaws, and lack of on-court atmosphere keep it from meeting those expectations.",55,0.0
16747,Babel Rising, DS,"June 12, 2012","Ubisoft’s Babel Rising is the next-generation version of the popular iPhone game of the same name. In Babel Rising, gamers play as God, preventing humans from building the tower of Babel. Gamers can use their divine powers by hurling bolts of lightning, summoning massive earthquakes or unleashing gigantic floods upon the Babylonians. Developer Mando Productions has breathed new life into the game with 3D graphics and competitive and cooperative multiplayer modes.",55,0.0
16749,GERRRMS, Switch,"July 23, 2020",Gerrrms is a party brawl game that puts you in the role of a microorganism fighting against its single-celled opponents. Take part in the eternal battle of the microbes! Become one of the sneaky bacteria and tech your friends their place in line. This is the best micro brawl game out there. Play as one of 11 unlockable characters with different personalities. There are as many as seven game modes! Deathmatch - this is the classic germ vs germ warfare.,55,0.0
16764,Spider-Man: Friend or Foe, PlayStation 2,"October 2, 2007","Spider-Man: Friend or Foe challenges players to defeat and then join forces with notorious movie nemeses including Doc Ock, Green Goblin, Venom and Sandman, and other classic Spider-Man characters. Players embark on a global quest to overcome an evil threat, by controlling Spider-Man and one of numerous Super Hero or Super Villain sidekicks, as they master unique fighting moves and styles while switching between characters to execute team combos and defeat foes. Spider-Man: Friend or Foe features a unique co-op mode in which a friend can join the game at any time and take control of Spidey’s sidekick as they battle through the game side-by-side and replay favorite levels. [Activision]",55,0.0
16787,Tecmo Classic Arcade, Switch,"September 14, 2005","Tecmo offers you a dose of nostalgia in the game compilation Tecmo Classic Arcade. Eleven of Tecmo's early games are included, along with a gallery that shows artwork from each game. The disc includes Tecmo Bowl, Rygar, Star Force, Solomon's Key, Bomb Jack, Tecmo Cup, Pinball Action, Pleiades, Senjyo, Swimmer, and Stratofighter.",55,0.0
16793,Disney*Pixar WALL-E, Xbox One,"June 24, 2008","What if mankind had to leave Earth, and somebody forgot to turn the last robot off? After hundreds of lonely years of doing what he was built for, WALL-E (short for Waste Allocation Load Lifter Earth-Class) discovers a new purpose in life (besides collecting knick-knacks) when he meets a sleek search robot named EVE. EVE comes to realize that WALL-E has inadvertently stumbled upon the key to the planet’s future, and races back to space to report her findings to the humans (who have been eagerly awaiting word that it is safe to return home). Meanwhile, WALL-E chases EVE across the galaxy and sets into motion one of the most exciting and imaginative comedy adventures ever brought to the big screen. Joining WALL-E on his fantastic journey across a universe of never-before-imagined visions of the future, is a hilarious cast of characters including a pet cockroach, and a heroic team of malfunctioning misfit robots. Players of the game take control of WALL-E and EVE through a fast-paced adventure based on the Disney/Pixar film. The game allows fans to relive some of the movie’s most thrilling moments as they explore 10 worlds filled with non-stop action and adventure, along with head-to-head multiplayer challenges. Players will recognize the storyline, characters and key locations from the WALL-E film as they carry out intense missions, dodge dangerous enemies and navigate their way through a futuristic world. In addition, the game contains new storylines and environments that movie-goers will not see in theaters. [THQ]",54,0.0
16799,Soul Axiom, PlayStation 4,"June 8, 2016","From the studio that brought you Master Reboot comes a first-person story-driven adventure puzzle game, set in the beautiful, haunting cyber-world of Elysia. Collect unique hand powers, discover multiple endings and choose your own destiny as you unravel the mystery of your digital afterlife.",54,0.0
16801,Battle of Europe, PSP,"March 23, 2006","Battle of Europe is a fully 3D arcade action game. Taking place in the skies over Europe, players are taken through breathtaking terrain modeled for London, Norway, Dunkirk and Berlin. A full hanger of fighters and bombers completely submerse the player in the reality of the World War II flying aces; risking their lives daily in countless dog fights, and returning home in a smoking plane littered with bullet holes ...if at all. [Strategy First]",54,0.0
